image,model,json_ok,have_headline,have_logo,num_head_boxes,num_logo_boxes,margin_ok_text,margin_ok_logo,ar_text,ar_logo,area_text,area_logo,iou_subject_text,iou_subject_logo,iou_text_logo,energy_text,energy_logo,negspace_compliance,prompt_len,composite_score,headline_suggestion,background_prompt
117.png,base,1,1,1,1,1,1,0,2.25,1.0,0.09,0.09,0.0413,0.0074,0.0,0.1433,0.011,1.0,107,4.0742,,"A foldable stool with a person sitting on it, showcasing its compact design and high load-bearing capacity."
118.png,base,1,1,1,1,1,0,0,3.4,4.3333,0.2125,0.0975,0.2759,0.053,0.2653,0.0872,0.0662,0.0,89,2.6818,,"A woman holding a pet carrier with a small white dog, set against a green ivy background."
119.png,base,1,1,1,1,1,0,0,4.75,1.5,0.19,0.06,0.0,0.0244,0.0,0.1023,0.0141,1.0,88,3.4936,,"A person wearing sneakers sitting on a shelf, showcasing the shoe's design and features."
12.png,base,1,1,1,1,1,1,0,2.6667,0.75,0.24,0.12,0.4286,0.0,0.0,0.0395,0.0367,0.0,63,3.5334,,a person wearing wide-legged jeans in a modern interior setting
120.png,base,1,1,1,1,1,0,0,1.75,2.0,0.28,0.045,0.0,0.0189,0.0,0.0466,0.0016,1.0,125,3.6239,,A woman wearing a light purple sleepwear set with lace details on the collar and cuffs. The background is a soft beige color.
121.png,base,1,1,1,1,1,1,1,0.8,1.0,0.2,0.04,0.3125,0.0625,0.0,0.0525,0.0282,0.0,112,3.9162,,"A person wearing light gray golf pants and white shoes holding a golf club, standing against a plain background."
122.png,base,1,1,1,1,1,0,0,0.6667,1.0,0.24,0.09,0.225,0.0,0.0,0.0643,0.0387,0.0,113,2.7273,,"a man wearing black casual pants against a dark textured wall, with white sneakers and a watch on his left wrist."
123.png,base,1,1,1,1,1,1,0,3.2,1.25,0.2,0.2,0.3659,0.037,0.0,0.0421,0.0265,0.0,77,3.6148,,"a woman wearing black velvet flared pants standing indoors, holding a handbag"
124.png,base,1,1,1,1,1,0,1,1.0,1.6667,0.2025,0.0375,0.1312,0.0177,0.0,0.0262,0.0075,1.0,111,3.5188,,"A woman wearing a pair of black high-heeled boots with a buckle closure, standing against a neutral background."
125.png,base,1,1,1,1,1,1,0,2.6667,0.8571,0.24,0.105,0.3333,0.0391,0.0615,0.1058,0.1134,0.0,18,3.4131,,简洁的室内环境，白色墙壁和木质地板。
126.png,base,1,1,1,1,1,0,1,1.6,0.4,0.4,0.081,0.078,0.0889,0.1045,0.0552,0.0512,1.0,100,3.0234,,A woman in a black Nike shirt standing behind a red gift box with traditional Chinese illustrations.
127.png,base,1,1,1,1,1,0,0,1.3636,0.75,0.4125,0.12,0.0352,0.0,0.2909,0.0508,0.0418,1.0,27,2.8256,,一个穿着棕色外套的学生站在书架前，手里拿着一本教辅书。
128.png,base,1,1,1,1,1,1,0,3.4,0.5455,0.2125,0.165,0.355,0.0,0.0,0.0345,0.0419,0.0,86,3.3424,,"A woman holding a tube of sunscreen cream, smiling and looking directly at the camera."
13.png,base,1,1,1,1,1,0,0,2.0,1.75,0.18,0.28,0.1622,0.0,0.0,0.0608,0.0326,1.0,89,2.9968,,A young boy wearing a formal outfit with black leather shoes on a clean white background.
14.png,base,1,1,1,1,1,0,1,1.25,0.75,0.2,0.03,0.0874,0.0541,0.0,0.0856,0.0116,1.0,103,3.5364,,"a baby sitting on a pink surface with white fluffy decorations, wearing a pink hat with floral details."
15.png,base,1,1,1,1,1,0,0,1.2222,2.2,0.2475,0.1375,0.0167,0.1117,0.0,0.0204,0.0505,1.0,87,2.9338,,"A woman holding an iron supplement box, soft lighting, eye-level angle, medium distance"
16.png,base,1,1,1,1,1,0,0,2.0,1.25,0.125,0.2,0.0838,0.0136,0.0,0.0771,0.0601,1.0,74,3.0296,,"a couple pushing a baby stroller by a lake, soft lighting, eye-level angle"
17.png,base,1,1,1,1,1,0,0,1.4615,1.0,0.6175,0.09,0.2527,0.0,0.1457,0.0946,0.061,0.0,88,2.7886,,"A child holding a multivitamin box, with a focus on the product's branding and features."
18.png,base,1,1,1,1,1,0,0,1.0,1.2,0.16,0.075,0.0722,0.0,0.0,0.1736,0.0242,1.0,74,2.8271,,A person wearing outdoor pants standing on grass with a scenic background.
19.png,base,1,1,1,1,1,0,0,2.0,2.0,0.32,0.045,0.0,0.0189,0.0,0.0489,0.0113,1.0,67,3.3623,,"A woman wearing an orange jacket indoors, smiling and looking back."
2.png,base,1,1,1,2,1,0,0,1.0,1.125,0.2025,0.18,0.1905,0.0588,0.2143,0.0659,0.0256,1.0,18,2.6364,,简洁的背景，突出裤子的设计和舒适感。
20.png,base,1,1,1,3,1,1,1,0.5455,2.3333,0.165,0.0525,0.1351,0.1224,0.0,0.0894,0.0093,1.0,72,3.9496,,a woman wearing a pink puffer jacket standing against a plain background
21.png,base,1,1,1,1,1,0,1,1.8,1.3333,0.1125,0.03,0.1183,0.0263,0.0,0.0583,0.0222,1.0,94,4.0346,,"a baby sleeping in a swaddle blanket with stars and moons on it, soft lighting, eye-level shot"
22.png,base,1,1,1,1,1,0,0,1.6667,3.3333,0.3375,0.075,0.4762,0.061,0.0,0.05,0.016,0.0,85,2.4007,,"a person wearing a pair of thermal underwear, focusing on the lower half of the body."
23.png,base,1,1,1,1,1,1,1,1.5556,2.0,0.315,0.08,0.2151,0.2222,0.0464,0.0523,0.0059,0.0,74,3.7758,,a woman wearing a red jacket and black skirt standing against a white wall
24.png,base,1,1,1,1,1,0,0,1.875,4.0,0.3,0.16,0.0732,0.0,0.4839,0.0508,0.0589,1.0,78,2.6422,,"A woman wearing sunglasses and a white tank top, holding a flower arrangement."
25.png,base,1,1,1,2,1,1,1,3.2,1.0,0.2,0.0225,0.3659,0.0132,0.0471,0.0856,0.0717,0.0,97,4.2321,,"A woman sitting on a bed with a TEMPUR pillow, surrounded by soft lighting and a cozy atmosphere."
26.png,base,1,1,1,1,1,0,0,1.125,0.8333,0.18,0.027,0.072,0.0,0.0,0.069,0.0251,1.0,100,3.1607,,"a woman wearing a light pink undergarment, soft and comfortable, with a focus on the design details."
27.png,base,1,1,1,1,1,0,0,1.7,0.9091,0.425,0.275,0.1805,0.1092,0.5556,0.1133,0.0998,1.0,102,2.7233,,"A woman wearing a pair of olive green leggings, highlighting their soft texture and high waist design."
28.png,base,1,1,1,1,1,0,0,2.7667,0.14,0.249,0.035,0.0,0.0,0.0798,0.052,0.0441,1.0,138,3.4751,,"A man wearing a black T-shirt with patches on the sleeves, a black cap, and a black face mask. The background is a plain light blue color."
29.png,base,1,1,1,1,1,1,0,3.2,0.75,0.2,0.12,0.3659,0.0159,0.0,0.0644,0.0164,0.0,56,3.514,,A person wearing flared jeans standing on a tiled floor.
3.png,base,1,1,1,1,1,0,1,2.3333,1.0,0.21,0.04,0.0411,0.0309,0.0,0.0444,0.0411,1.0,98,3.7798,,"A woman wearing a pair of thermal underwear, with a soft lighting effect and a neutral background."
30.png,base,1,1,1,1,1,0,1,4.0,0.75,0.16,0.03,0.0,0.0541,0.0,0.0632,0.052,1.0,106,3.8946,,"a warm, neutral-toned background with a minimalist design, featuring two models wearing thermal underwear."
31.png,base,1,1,1,1,1,1,0,4.25,1.0,0.17,0.09,0.2927,0.0,0.0,0.055,0.0158,0.0,78,3.679,,"A baby sleeping peacefully on a soft blue pillow, surrounded by white bedding."
32.png,base,1,1,1,1,1,1,1,1.5714,2.3333,0.1925,0.0525,0.5154,0.0,0.0,0.07,0.029,0.0,81,3.9233,,A cute cat-shaped hair curler on a soft background with a young woman holding it.
33.png,base,1,1,1,1,1,0,0,0.7143,1.6667,0.0875,0.0375,0.0,0.014,0.0,0.0905,0.05,1.0,138,3.8177,,"A man wearing green cargo shorts with multiple pockets, a brown belt, and a watch on his left wrist. The background is a plain gray color."
34.png,base,1,1,1,1,1,0,1,2.5,0.75,0.1,0.03,0.0698,0.0833,0.0,0.0677,0.0154,1.0,166,4.4525,,"a child wearing thickened sharkskin pattern leggings, standing on a kitchen counter, with a close-up view of the leggings and a text box with promotional information."
35.png,base,1,1,1,1,1,0,0,2.125,0.7143,0.34,0.0875,0.0,0.0391,0.0,0.0185,0.0344,1.0,152,3.4366,,"a woman wearing a winter coat, a pair of black pants, and a necklace, with a fire effect on the left side, and a plus sign icon in the top right corner."
36.png,base,1,1,1,1,1,0,0,1.3333,1.0,0.48,0.25,0.1351,0.0339,0.5208,0.0265,0.0191,1.0,74,2.8068,,A woman wearing a formal outfit taking a mirror selfie in a well-lit room.
37.png,base,1,1,1,2,1,0,1,0.7778,0.8,0.1575,0.05,0.0098,0.0513,0.0,0.0987,0.0863,1.0,67,3.4906,,A grassy field with children wearing cute sweaters and accessories.
38.png,base,1,1,1,3,1,0,0,1.3636,2.0,0.4125,0.045,0.1931,0.0189,0.0,0.0496,0.0156,1.0,107,3.1198,,"A woman wearing a beige thermal underwear, standing against a light background with a soft lighting effect."
39.png,base,1,1,1,2,1,0,0,2.0,0.8571,0.32,0.105,0.0,0.0333,0.0241,0.0785,0.0569,1.0,80,3.0734,,"A man playing tennis with a wireless earbud in his ear, wearing a casual outfit."
4.png,base,1,1,1,1,1,1,0,2.4,1.0,0.15,0.09,0.3691,0.0,0.0,0.0911,0.0281,0.0,80,3.5013,,A woman sleeping peacefully on a white pillow with a blue wristband on her hand.
40.png,base,1,1,1,1,1,0,0,3.0,0.6,0.27,0.15,0.0,0.0099,0.2727,0.0574,0.0378,1.0,73,2.9185,,A man wearing a black leather jacket standing against a plain background.
41.png,base,1,1,1,1,1,0,0,3.6,1.0,0.225,0.09,0.2581,0.0056,0.0,0.086,0.0631,0.0,18,2.9723,,一位穿着棕色外套的女性，背景为深色。
42.png,base,1,1,1,1,1,1,0,1.5,1.25,0.135,0.05,0.2692,0.0,0.0,0.1254,0.0344,0.0,58,3.5494,,A baby wearing a yellow hat is holding a silicone teether.
43.png,base,1,1,1,1,1,0,0,2.8333,1.375,0.255,0.22,0.0,0.1837,0.0,0.095,0.0231,1.0,100,3.1387,,A person wearing black cargo pants with a white shirt and white sneakers on a plain gray background.
44.png,base,1,1,1,1,1,0,1,3.0,0.5,0.27,0.02,0.2133,0.0154,0.0,0.0767,0.0637,0.0,102,3.4542,,"A woman wearing a beige long-sleeved thermal underwear, holding up her shirt to show its soft texture."
45.png,base,1,1,1,1,1,0,0,1.6364,1.5,0.495,0.06,0.2667,0.0,0.0,0.0433,0.0198,0.0,91,3.1261,,"A person wearing blue jeans standing indoors, with a focus on the lower half of their body."
46.png,base,1,1,1,2,1,1,0,2.6667,1.25,0.24,0.2,0.4286,0.037,0.0,0.0791,0.0674,0.0,22,3.385,,一位老人和孩子在公园里骑着红色的电动代步车。
47.png,base,1,1,1,1,1,0,1,1.75,1.0,0.28,0.04,0.1852,0.0127,0.0,0.0438,0.0137,1.0,13,3.4967,,运动场景，背景为红色跑道。
48.png,base,1,1,1,1,1,0,0,1.875,0.6,0.3,0.15,0.082,0.0303,0.25,0.0749,0.0523,1.0,73,2.6546,,"A woman wearing a black hat and holding a phone, with a white background."
49.png,base,1,1,1,1,1,0,0,5.3333,1.25,0.12,0.2,0.0,0.1546,0.0,0.0596,0.0543,1.0,116,3.5961,,"A person wearing a stylish black leather jacket with a crocodile pattern, standing against a plain white background."
5.png,base,1,1,1,1,1,0,0,3.0,1.5,0.27,0.06,0.087,0.0,0.0,0.0765,0.0091,1.0,74,3.4614,,A man wearing gray casual pants with white sneakers on a plain background.
50.png,base,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0.0,,
51.png,base,1,1,1,1,1,0,0,2.0,2.0,0.18,0.045,0.0,0.0189,0.0,0.0843,0.0501,1.0,79,3.3333,,"A woman wearing cat-eye glasses, with a soft lighting and a neutral background."
52.png,base,1,1,1,1,1,0,0,1.6364,2.0,0.495,0.045,0.5442,0.0458,0.0,0.0678,0.0577,0.0,62,2.8867,,A person holding a thick chopstick rest with a red background.
53.png,base,1,1,1,1,1,0,1,3.0,1.5,0.1875,0.135,0.259,0.375,0.2647,0.0843,0.0488,0.0,94,3.2379,,"A person wearing warm, cozy brown pants and matching socks, standing on a light-colored floor."
54.png,base,1,1,1,1,1,0,1,2.3333,1.3333,0.0525,0.03,0.0,0.0526,0.0,0.0764,0.0036,1.0,92,4.186,,"a cozy indoor setting with a neutral color palette, soft lighting, and a relaxed atmosphere."
55.png,base,1,1,1,1,1,0,0,5.0,2.0,0.1125,0.045,0.0,0.0189,0.0,0.1152,0.0362,1.0,83,3.8842,,"a woman wearing a beige knit sweater, soft lighting, close-up shot, eye-level angle"
56.png,base,1,1,1,1,1,0,1,3.3333,1.4,0.075,0.0875,0.0,0.2431,0.0,0.076,0.1113,1.0,98,3.9306,,"A woman wearing a beige V-neck undergarment with lace trim, standing against a neutral background."
57.png,base,1,1,1,1,1,0,0,2.7143,0.9091,0.3325,0.275,0.0453,0.1092,0.4046,0.1309,0.0972,1.0,29,2.9072,,绿意盎然的户外环境，背景为草地和树木，营造自然舒适的氛围。
58.png,base,1,1,1,1,1,0,0,2.3333,2.0,0.21,0.045,0.0962,0.0125,0.0,0.0333,0.0241,1.0,106,3.3605,,a minimalist fashion advertisement with three models wearing different outfits against a plain background.
59.png,base,1,1,1,1,1,0,0,3.0,0.75,0.27,0.12,0.05,0.0159,0.3,0.0683,0.0401,1.0,84,3.1681,,A young woman holding a pair of black and white sneakers against a plain background.
6.png,base,1,1,1,1,1,1,0,2.4,1.0,0.15,0.0225,0.3077,0.0,0.0,0.0339,0.1262,0.0,106,3.809,,A close-up of a person wearing black shark pants with a white and blue striped sweater and white sneakers.
60.png,base,1,1,1,1,1,0,0,2.6667,1.3158,0.24,0.19,0.048,0.2088,0.0361,0.0976,0.022,1.0,180,3.3563,,"a man wearing a white hoodie with black stripes on the sleeves, standing in front of a white background, with a red banner at the bottom displaying 'Sell well' and '服从你的渴望 高品质 高颜值'"
61.png,base,1,1,1,1,1,0,0,17.0,1.0,0.0425,0.0625,0.0,0.0,0.0,0.0101,0.0485,1.0,68,3.7042,,a woman wearing a pink robe and black lace bra in a bathroom setting
62.png,base,1,1,1,1,1,0,1,1.6,0.6667,0.1,0.06,0.0,0.0769,0.0,0.0348,0.0478,1.0,118,3.7678,,"A cozy indoor setting with a soft light, featuring a person wearing a pink velvet sleepwear set, holding a teddy bear."
63.png,base,1,1,1,2,1,0,0,4.0,1.0,0.16,0.25,0.1389,0.087,0.0,0.0872,0.0893,1.0,88,3.1091,,"a group of smiling babies wearing glasses, soft lighting, close-up shot, eye-level angle"
64.png,base,1,1,1,1,1,0,0,1.4545,0.75,0.44,0.12,0.1636,0.0,0.1915,0.0504,0.0066,1.0,86,2.878,,A woman in a white dress standing in a minimalist room with a small table and a plant.
65.png,base,1,1,1,1,1,0,0,1.875,2.0,0.3,0.045,0.0,0.0189,0.0,0.0646,0.0,1.0,83,3.3343,,"A man wearing a black down jacket with a hood, standing against a plain background."
66.png,base,1,1,1,1,1,0,0,2.25,1.0,0.36,0.09,0.0,0.0,0.25,0.0716,0.0666,1.0,171,3.3887,,"a woman wearing an ancient Chinese costume with intricate embroidery and a floral headdress, set against a dark background with traditional Chinese characters on the wall."
67.png,base,1,1,1,1,1,0,0,2.125,2.0,0.34,0.045,0.1475,0.0125,0.0,0.0848,0.0375,1.0,81,3.2563,,"A woman wearing a beige cable-knit sweater, standing in front of a clothing rack."
68.png,base,1,1,1,1,1,0,0,2.6667,1.3333,0.24,0.27,0.0,0.2,0.0625,0.0933,0.0355,1.0,122,3.3889,,"a young man wearing a red sweater with black lettering, sunglasses, and a chain necklace against a plain white background."
69.png,base,1,1,1,1,1,0,0,5.0,2.0,0.1125,0.045,0.0,0.0125,0.0,0.0565,0.0468,1.0,110,3.9205,,"a person wearing a beige coat holding a brown leather handbag, soft lighting, eye-level angle, medium distance"
7.png,base,1,1,1,1,1,0,1,1.8,1.3333,0.1125,0.03,0.0662,0.009,0.0,0.0734,0.0578,1.0,96,4.0636,,"a cozy bedroom setting with a white bed and pillows, soft lighting, and a neutral color palette."
70.png,base,1,1,1,1,2,1,0,2.6667,0.5455,0.24,0.165,0.2564,0.2206,0.0,0.0509,0.0576,0.0,76,3.2326,,A woman holding two orange tubes of flower drink against a black background.
71.png,base,1,1,1,1,1,0,0,3.8,1.2727,0.2375,0.385,0.3352,0.1779,0.0,0.0266,0.0366,0.0,87,2.9731,,"A woman with long, straight hair styled with metallic beads. The background is neutral."
72.png,base,1,1,1,1,1,0,0,2.8333,1.125,0.255,0.18,0.3289,0.1391,0.0,0.0568,0.05,0.0,94,2.9484,,"A close-up of a smartwatch on a person's wrist, with a soft lighting and a neutral background."
73.png,base,1,1,1,1,1,0,0,3.2,2.0,0.2,0.045,0.125,0.0,0.225,0.0552,0.0733,1.0,110,3.3897,,"a woman wearing a white dress with a pearl chain shoulder strap, soft lighting, eye-level angle, close-up view"
74.png,base,1,1,1,1,1,1,1,1.4286,1.3333,0.175,0.03,0.2395,0.0347,0.0513,0.039,0.0598,0.0,67,4.0775,,A woman is jumping rope on a pink mat in a pink room with curtains.
75.png,base,1,1,1,1,1,1,1,1.6667,2.0,0.15,0.045,0.3386,0.0931,0.0833,0.0932,0.1118,0.0,161,4.2693,,"A pregnant woman sitting in a car, wearing a gray protective vest over her white top. The background shows a blurred view of a road and trees outside the window."
76.png,base,1,1,1,1,1,0,0,3.75,1.2,0.15,0.075,0.203,0.0,0.25,0.0491,0.0583,0.0,80,3.0868,,A group of children wearing colorful winter clothing standing on a snowy ground.
77.png,base,1,1,1,1,1,0,0,3.0,6.0,0.27,0.135,0.0,0.2222,0.0,0.0945,0.0648,1.0,89,2.8392,,"A woman wearing a red floral blouse with a black bow tie, soft lighting, eye-level angle."
78.png,base,1,1,1,1,1,0,0,2.6667,1.0,0.24,0.09,0.0,0.0,0.134,0.1339,0.0857,1.0,107,3.1402,,"a woman wearing a beige crop top and light blue jeans, standing in front of a bookshelf with various items."
79.png,base,1,1,1,1,1,0,1,2.0,1.0,0.32,0.0225,0.0968,0.0625,0.0,0.0831,0.004,1.0,141,3.9537,,"A woman wearing a purple long-sleeved shirt with a classic collar, standing against a light-colored wall with green plants in the background."
8.png,base,1,1,1,1,1,1,0,0.7273,1.1111,0.22,0.225,0.3182,0.1759,0.0,0.0709,0.0314,0.0,82,3.1817,,"A child wearing black pants with a blue logo, standing against a plain background."
80.png,base,1,1,1,2,1,1,0,2.5,0.75,0.081,0.12,0.0726,0.0,0.0,0.0768,0.0345,1.0,99,4.1329,,"A close-up of a person wearing a knee support strap, focusing on the adjustable sticky band design."
81.png,base,1,1,1,1,1,0,0,1.8889,2.0,0.3825,0.045,0.3944,0.0189,0.0,0.0356,0.0389,0.0,99,3.0701,,"a woman wearing a dark blue knit dress and sweater set, standing indoors with a neutral background."
82.png,base,1,1,1,1,1,0,1,1.75,1.75,0.28,0.07,0.122,0.1094,0.0,0.094,0.0298,1.0,79,3.3092,,"A cozy living room setting with a soft, plush sofa and a neutral color palette."
83.png,base,1,1,1,1,1,0,1,2.3333,1.0,0.21,0.0225,0.1806,0.0153,0.0,0.0204,0.0645,1.0,48,3.5997,,A woman practicing yoga on a patterned yoga mat.
84.png,base,1,1,1,1,1,0,0,2.0,1.0,0.32,0.25,0.0,0.0339,0.5405,0.0499,0.0457,1.0,82,2.9892,,A woman holding a vacuum compression bag in front of a closet filled with clothes.
85.png,base,1,1,1,1,1,0,0,1.8,1.6667,0.45,0.15,0.4156,0.1791,0.0435,0.0806,0.0224,0.0,75,2.678,,A man wearing a blue classic menswear shirt with a small logo on the chest.
86.png,base,1,1,1,1,1,0,1,2.3333,0.75,0.21,0.03,0.0,0.0263,0.0,0.0742,0.0238,1.0,16,3.6965,,城市天际线背景，男性运动员形象。
87.png,base,1,1,1,1,1,0,0,1.3333,1.0,0.48,0.25,0.6,0.2192,0.2586,0.0872,0.0755,0.0,74,2.3935,,"A baby lying on its back on a soft blanket, wearing comfortable sleepwear."
88.png,base,1,1,1,1,1,0,0,1.75,2.5,0.28,0.1,0.1179,0.0888,0.0,0.053,0.0046,1.0,98,2.952,,"A close-up shot of a woman wearing a pearl necklace, highlighting its elegance and sophistication."
89.png,base,1,1,1,1,1,1,0,2.0,2.0,0.32,0.045,0.5455,0.0125,0.0,0.024,0.0427,0.0,79,3.5923,,a pair of beige pants worn by two people standing side by side on a gray floor.
9.png,base,1,1,1,1,1,0,0,1.8889,0.75,0.3825,0.12,0.2532,0.0,0.1356,0.0567,0.0126,0.0,64,2.8939,,a woman wearing a black winter coat against a neutral background
90.png,base,1,1,1,1,1,0,0,2.6667,1.5,0.24,0.06,0.0,0.0244,0.0,0.0474,0.0132,1.0,116,3.4712,,"A person in green scrubs holding a blue tennis racket, standing in front of a wooden shelf with a plant on the left."
91.png,base,1,1,1,1,1,0,1,1.8,2.5,0.3645,0.025,0.0432,0.0349,0.0,0.0285,0.0689,1.0,99,3.6914,,"A young man wearing a black and white jacket, standing in front of a chalkboard with a casual pose."
92.png,base,1,1,1,1,1,0,0,1.5455,2.0,0.4675,0.045,0.1619,0.0,0.0,0.0415,0.0184,1.0,78,3.1857,,A person wearing jeans and a black jacket standing against a plain background.
93.png,base,1,1,1,1,1,0,0,0.8889,1.75,0.18,0.07,0.1392,0.0488,0.0,0.0864,0.0299,1.0,71,2.7885,,A woman holding a light blue coffee cup against a soft pink background.
94.png,base,1,1,1,1,1,0,0,2.6667,1.0,0.24,0.25,0.0,0.0339,0.4412,0.071,0.0604,1.0,69,3.1046,,A man wearing a green jacket standing against a blue sky with clouds.
95.png,base,1,1,1,1,1,0,0,2.8333,2.0,0.255,0.045,0.0,0.0189,0.0,0.0713,0.0226,1.0,75,3.4855,,A woman wearing a white down jacket standing against a gradient background.
96.png,base,1,1,1,1,1,1,0,2.6,1.6667,0.234,0.0375,0.4043,0.0433,0.015,0.0825,0.0809,0.0,89,3.73,,A pair of light green pajamas hanging on a wooden hanger against a dark green background.
97.png,base,1,1,1,1,1,0,0,1.6,2.0,0.4,0.045,0.1692,0.0189,0.0,0.0493,0.0371,1.0,81,3.1718,,"A woman wearing a red turtleneck sweater with a gold necklace, standing outdoors."
98.png,base,1,1,1,1,1,0,0,1.7273,2.0,0.5225,0.045,0.1136,0.0189,0.0,0.0403,0.037,1.0,107,3.2373,,"A woman wearing a form-fitting beige shapewear dress, standing in a well-lit room with a soft light source."
99.png,base,1,1,1,1,1,0,1,2.3333,1.125,0.21,0.18,0.0625,0.2424,0.0,0.0654,0.0327,1.0,83,3.3982,,A man wearing a black Nike hoodie and sunglasses standing outdoors with a backpack.
0.png,lora,1,1,1,1,1,0,1,4.3333,1.0,0.0975,0.01,0.0975,0.01,0.0,0.095,0.0215,1.0,89,3.9855,,a person wearing black pants and white slippers standing in front of a closet with shoes.
1.png,lora,1,1,0,2,0,0,0,4.3333,0.0,0.0975,0.0,0.0975,0.0,0.0,0.0437,-1.0,1.0,200,2.5155,,"A soft pink background with a playful illustration of a child's hand holding a toothpaste bottle, a cartoon frog character on the bottle, and a slice of orange fruit. The scene is bright and cheerful."
10.png,lora,1,1,1,1,1,0,1,7.6667,1.0,0.1104,0.01,0.0,0.0,0.0433,0.0384,0.1061,1.0,82,4.0671,,"A person wearing purple winter boots on a sidewalk. Soft lighting, eye-level shot."
